Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
804,2,26.9771,-3.10799,-1.01655
807,1,24.2521,-0.262297,0.624843
809,1,22.8009,-1.91973,2.2541
811,1,23.0535,-1.10752,2.69687
813,1,25.5924,-0.677264,-0.956262
815,1,23.3922,-0.29172,-0.875682
816,1,22.4665,2.18114,2.6853
817,2,54.4089,-0.752023,2.51134
817,2,40.9941,-1.63985,-0.327536
822,1,28.6426,0.240521,0.138317
823,1,26.7851,-0.0024577,-1.85069
824,1,33.6759,-1.12743,-0.156909
826,1,22.7143,1.15945,1.11042
831,1,25.09,0.143368,-2.3359
834,1,29.9765,-1.87886,-2.85935
835,1,24.6257,-0.771227,2.20048
838,1,29.4995,0.388466,-2.98707
839,1,24.8473,1.10447,0.109891
842,2,32.8859,0.431886,0.638691
842,2,22.9136,-2.38652,-2.04192
843,2,28.0054,-2.75589,-0.171472
843,2,23.6368,-2.63805,2.99926
846,1,33.8142,1.00521,-0.0104977
848,2,33.097,-2.23685,0.762938
848,2,27.0025,-2.1166,-3.04312
850,1,25.0044,-0.263822,-2.43981
851,1,27.3716,2.10315,-1.50755
852,2,33.1361,-2.15768,2.0394
852,2,23.9699,0.161042,-1.21795
853,1,32.1238,-0.519715,1.51717
856,1,24.8903,2.01259,2.29686
857,1,26.886,-2.35636,0.372073
862,2,24.6137,-0.0563528,2.55115
862,2,22.5808,1.31877,-1.78556
865,1,40.7184,-3.26086,-0.237633
868,1,28.1962,-2.50773,-0.696431
870,1,23.0681,3.47982,-2.82207
871,1,28.0222,-1.07687,1.22905
875,2,24.4265,-2.15217,1.11416
875,2,22.6976,-2.59886,-1.80223
877,2,28.7257,0.062084,1.1831
877,2,25.4641,1.34299,-2.52668
879,1,23.115,1.66293,2.42084
880,2,28.7458,-2.51941,-1.47996
880,2,22.987,2.78703,-0.933595
881,2,36.2793,-0.532501,-2.98222
881,2,25.249,0.195806,-0.0157807
883,2,32.2462,0.213459,1.11729
883,2,25.7562,3.27249,-1.97351
886,1,25.5924,0.297307,-1.21186
888,1,35.4628,-1.35317,-2.28806
889,2,42.3735,-0.885173,1.08856
889,2,30.8185,-1.33459,-2.35091
890,1,33.6261,-0.762621,-0.935736
891,1,23.3085,1.75936,-0.106945
892,1,24.7476,-0.537646,1.76894
896,1,23.4981,2.12121,1.32709
898,1,33.0521,3.52674,-1.844
899,1,32.1897,2.69652,1.2593
900,1,25.5483,-0.579052,-2.99721
903,3,44.4102,-1.62906,2.82777
903,3,38.3005,2.9851,-0.886155
903,3,27.2929,0.40318,0.308449
904,2,53.3405,0.887369,0.739513
904,2,52.4979,2.22519,-2.62173
905,1,24.7566,0.695345,-0.817186
906,1,38.0678,-0.475299,-2.05879
907,1,25.4496,0.853479,1.61206
908,1,27.2044,1.45081,-2.79798
910,1,30.7084,0.364309,1.79377
911,1,23.7714,-1.14731,2.43225
912,1,27.9415,2.48112,2.6395
913,1,25.9995,2.03427,2.42405
915,1,25.1198,-1.29197,0.139507
918,2,30.0785,0.322836,-0.447916
918,2,22.0505,-3.12786,2.81436
919,1,23.0765,1.00913,0.380011
920,1,29.4087,-0.387311,-2.60933
921,1,24.3502,-0.949006,2.34899
922,1,26.5421,-0.512351,-2.93429
925,1,22.983,-1.54113,2.23926
927,1,23.943,1.7009,0.0110242
930,1,29.1592,2.12451,-0.0906254
935,2,33.0369,0.121436,-0.987895
935,2,25.873,1.38054,1.87556
936,1,24.1603,0.42744,2.22536
940,2,26.0448,-0.406574,0.545712
940,2,24.2827,2.15991,1.71351
942,1,31.1746,-1.14892,-1.55005
944,1,25.4692,-0.60228,0.42569
946,1,24.6816,-1.67654,0.179659
951,2,101.644,-0.799022,3.08736
951,2,64.0152,-1.55814,0.101639
952,1,25.8498,0.410301,-0.53463
953,2,37.6191,-1.8069,1.52847
953,2,22.1472,-2.62582,-1.62077
954,1,27.5552,0.893707,-1.34222
958,1,27.9032,-1.05077,0.0741419
959,2,35.5149,-1.66291,-1.63008
959,2,25.8656,-3.53538,2.25498
963,1,27.0842,-0.205895,1.3244
964,1,31.1427,-1.25878,-0.530973
965,1,23.9076,-0.627026,-3.11426
966,1,41.7943,-0.555711,1.37347
968,1,28.0785,-1.37522,-1.75166
970,1,33.3484,-2.84016,2.59881
972,1,27.905,-0.511211,-2.31358
973,1,44.8357,1.03612,0.0417172
974,1,23.8915,3.14408,1.86958
975,1,25.6388,-1.76564,1.45273
976,2,38.0921,1.57907,-1.09911
976,2,37.3629,2.47973,1.66154
978,2,27.7283,1.66417,1.58295
978,2,25.5922,3.81973,-1.94083
981,1,27.2233,-0.555195,-1.99046
982,3,34.7076,0.45031,2.8781
982,3,28.6478,-2.99868,1.7092
982,3,25.7496,-0.817346,-2.32868
983,1,24.4689,0.857067,2.17284
985,1,26.6187,0.212156,2.27357
987,1,27.456,-0.104373,-2.85668
988,1,22.435,-1.53364,-1.85607
993,1,25.681,0.957523,-2.66448
994,2,91.2637,-0.698773,-0.968984
994,2,67.6299,1.43368,2.03292
999,2,51.4217,-2.49461,-1.52459
999,2,43.6192,-4.10022,1.54005
1003,2,36.2357,-1.29362,3.12823
1003,2,25.7407,-2.28129,-0.0140032
1005,1,34.0368,0.902258,2.02503
1006,1,22.3647,-1.80838,0.0294057
1007,1,24.5843,0.243863,1.00152
1010,2,29.0586,3.16486,-0.798725
1010,2,26.3901,1.13328,-3.03707
1011,1,23.0229,2.41119,2.98857
1016,2,25.6456,2.62013,-1.0957
1016,2,22.7625,2.44698,-3.12677
1020,3,32.7672,-0.336561,-0.448882
1020,3,31.4189,1.88383,-3.10477
1020,3,28.7727,-0.372875,0.0952904
1023,2,26.1108,-1.57791,-3.11214
1023,2,23.6029,3.40577,-0.101144
1024,2,48.6991,2.01768,1.47682
1024,2,39.8857,1.06007,-1.08295
1025,1,23.6986,-0.214721,0.283923
1027,1,24.7402,1.3191,1.67947
1030,2,29.3132,0.862457,1.23199
1030,2,23.9974,4.05568,-1.45891
1031,2,32.1454,0.267962,0.875874
1031,2,30.8059,0.246873,-2.08592
1032,1,27.0937,-1.76952,-0.20248
1033,1,33.1491,2.71445,3.03218
1039,1,23.3977,-0.208641,-2.04803
1043,1,24.7097,2.68223,2.3731
1045,2,33.0025,0.723194,0.480585
1045,2,25.1683,-0.198377,-3.08464
1047,1,25.108,1.21958,1.53495
1048,1,26.8522,-0.541527,0.378342
1050,2,42.1874,0.15229,1.48538
1050,2,27.3675,2.68952,-1.68843
1051,1,23.1277,0.791378,0.781685
1056,1,22.8459,3.2282,1.04938
