Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
942,1,23.2188,-1.86049,0.713615
943,1,25.4868,0.154925,-2.54508
944,1,22.6929,2.07495,-1.19807
945,2,43.9056,-0.062828,0.664144
945,2,23.9175,0.102288,-2.6462
946,1,22.7625,-1.06001,1.16711
947,1,34.9575,2.59089,-2.99099
953,2,44.7347,1.71914,0.653988
953,2,34.5655,0.629192,-2.60615
956,2,41.2544,0.80973,-1.69912
956,2,26.711,-0.838982,0.574539
958,1,26.9314,-0.321999,2.03842
959,1,22.6221,1.34998,-1.05406
962,1,25.6485,-1.53418,0.932336
963,1,27.6361,1.901,-0.626146
964,2,28.5439,-3.79335,-2.48701
964,2,24.9324,0.777539,-1.63762
965,1,26.9853,-0.695126,1.61771
967,1,32.5883,-1.05953,-2.18196
968,1,29.5202,0.154964,-1.85327
969,2,57.117,-1.00905,-0.693425
969,2,34.0229,-2.70888,2.91883
970,1,25.6566,-0.504237,-2.14438
973,2,30.4597,-0.660631,-1.37692
973,2,22.2189,-3.52447,-3.01998
974,1,29.1843,-1.34386,-0.569033
976,1,23.9525,-2.63352,-3.0031
977,1,24.681,1.06647,1.28849
978,3,33.548,-2.32137,-1.79057
978,3,30.0497,0.565631,0.679431
978,3,22.2895,-3.67868,1.68281
980,1,30.3293,0.209766,0.526527
983,2,66.6955,0.780863,-2.4095
983,2,46.9372,2.35286,1.5808
984,2,46.3989,-0.366827,1.68811
984,2,35.7926,-4.14794,-0.864782
985,1,24.1045,-1.90394,-0.456522
986,1,29.1061,-0.0806687,-2.87036
990,3,26.2607,-1.43696,-1.82795
990,3,24.9133,-2.75898,0.553877
990,3,22.4399,2.95574,-1.88384
993,1,25.3711,0.828748,2.1691
994,1,35.6521,0.159813,-2.91162
995,1,23.8371,-0.92584,1.20759
996,2,23.5513,0.480917,1.94642
996,2,23.1819,3.49653,1.1444
999,1,24.8029,2.17207,-0.440901
1000,2,25.0868,0.808985,2.12606
1000,2,24.8902,1.94972,-1.5412
1004,2,24.6775,0.693548,2.16006
1004,2,23.8202,-0.236779,-0.693123
